2017-12-01,A PUTRA DEWASA,A,1,Yudha,Setia Hati Organisasi,Yogasara,Tapak Suci
2017-12-01,A PUTRA DEWASA,A,2,Eman,Matahari,Rizki,Seti hati terate
2017-12-01,A PUTRA DEWASA,A,3,Sapta,Perisai Diri,Lubix,Setia hati organisasi
2017-12-01,A PUTRA DEWASA,A,4,Muklis,Seti hati terate,Rizal,Tapak Suci
2017-12-01,A PUTRA DEWASA,A,5,Roma,Canda Birawa,Ramli,Perisai Diri
2017-12-01,A PUTRA DEWASA,A,6,Irama,Matahari,Robi,Seti hati terate
2017-12-01,A PUTRA DEWASA,A,7,Isran,Perisai Diri,Suganda,Canda Birawa
2017-12-01,A PUTRA DEWASA,A,8,Azis,Seti hati terate,Reza,Tapak Suci
2017-12-01,A PUTRA DEWASA,A,9,Gagap,Setia Hati Organisasi,Oktavianus,Matahari
2017-12-01,A PUTRA DEWASA,A,10,Brian,Setia Hati Organisasi,Gamma,Perisai Diri
